user_id,time,drinking,caffeine,T-A,heart,floors,steps
16,2021-11-28 07:41:13,0,1,42.28545723710823,61,0.0,0.0
16,2021-11-28 11:54:03,0,1,48.34478822279527,60,0.0,0.0
16,2021-11-28 19:07:42,0,0,50.40258484111424,71,0.0,0.0
16,2021-11-28 22:48:24,0,0,47.80471480020619,64,0.0,0.0
16,2021-11-29 07:50:34,0,1,45.52786404500042,68,0.0,0.0
16,2021-11-29 11:03:01,0,1,49.57164706312188,65,0.0,0.0
16,2021-11-29 15:59:50,0,1,44.50557744205244,69,0.0,0.0
16,2021-11-29 16:03:23,0,1,44.35067317133968,67,0.0,0.0
1,2021-11-05 15:45:35,0,0,62.93548347272986,74,0.0,0.0
1,2021-11-05 18:16:16,0,1,61.54700538379252,63,0.0,0.0
1,2021-11-06 01:29:31,0,1,47.0722997811544,55,0.0,0.0
1,2021-11-06 09:51:55,0,0,64.14213562373095,68,0.0,0.0
1,2021-11-06 11:53:21,0,1,53.71390676354104,69,0.0,0.0
1,2021-11-06 18:47:39,0,0,56.03022689155527,79,0.0,0.0
1,2021-11-07 02:00:50,0,1,48.14304661822949,64,0.0,0.0
1,2021-11-07 10:29:04,0,0,48.14304661822949,71,0.0,0.0
1,2021-11-07 12:11:19,0,1,50.0,59,0.0,0.0
1,2021-11-07 18:19:34,0,0,55.32200144888794,65,0.0,0.0
1,2021-11-08 01:44:23,0,1,67.17911380774666,68,0.0,0.0
1,2021-11-08 07:21:19,0,0,50.0,63,0.0,0.0
1,2021-11-08 13:08:31,0,1,55.47722557505166,74,0.0,0.0
1,2021-11-08 18:27:37,0,0,49.39028923915031,73,0.0,7.0
15,2021-11-26 14:19:30,0,1,45.60942960041238,67,0.0,0.0
15,2021-11-26 18:07:54,0,0,39.78675640026215,60,0.0,0.0
15,2021-11-26 23:06:25,1,0,43.19548900632722,88,0.0,0.0
15,2021-11-27 07:18:37,0,0,40.627596610860486,63,0.0,0.0
15,2021-11-27 11:03:08,0,1,42.46488247797508,64,0.0,0.0
15,2021-11-27 18:03:33,0,1,40.36661759529552,59,0.0,0.0
15,2021-11-27 22:18:59,0,0,42.72393124891001,63,0.0,0.0
15,2021-11-28 06:35:00,0,0,41.109991109986666,58,0.0,0.0
15,2021-11-28 11:16:33,0,1,43.31006391994328,61,0.0,0.0
15,2021-11-28 18:28:31,0,1,41.57299028399616,90,0.0,0.0
15,2021-11-28 22:35:55,1,0,44.15793762163014,67,0.0,0.0
15,2021-11-29 06:34:12,0,1,39.30955032350303,59,0.0,0.0
15,2021-11-29 11:46:40,0,1,41.52001695994912,65,0.0,0.0
15,2021-11-29 15:42:13,0,1,40.06849395677124,72,0.0,0.0
9,2021-11-15 18:46:42,0,1,55.12989176042577,79,0.0,0.0
9,2021-11-15 22:21:58,0,0,44.16540034008422,75,0.0,0.0
9,2021-11-16 08:46:20,0,0,59.11322376865768,76,0.0,0.0
9,2021-11-16 11:39:25,0,0,54.93417434417882,127,3.0,77.0
9,2021-11-16 19:31:56,0,0,51.93347297809133,80,0.0,0.0
9,2021-11-17 00:47:56,0,1,46.46446609406726,77,0.0,0.0
9,2021-11-17 09:02:47,0,0,61.35549947915337,84,0.0,0.0
9,2021-11-17 11:50:13,0,0,47.671267835836886,113,0.0,0.0
9,2021-11-17 22:22:37,0,0,42.02275964782535,89,0.0,0.0
9,2021-11-18 09:43:16,0,0,58.66921446863011,78,0.0,0.0
9,2021-11-18 11:27:21,0,0,55.22232967867093,95,0.0,0.0
9,2021-11-18 21:43:22,1,0,47.74506191599151,94,0.0,0.0
18,2021-12-06 21:29:06,0,0,58.7959320741256,73,0.0,0.0
